country,cum.deaths,date.POSIXct
China,6,2020-01-22T07:00:00Z
China,17,2020-01-23T07:00:00Z
China,23,2020-01-24T07:00:00Z
China,41,2020-01-25T07:00:00Z
China,56,2020-01-26T07:00:00Z
China,80,2020-01-27T07:00:00Z
China,106,2020-01-28T07:00:00Z
China,132,2020-01-29T07:00:00Z
China,170,2020-01-30T07:00:00Z
China,213,2020-01-31T07:00:00Z
World except China,1,2020-02-02T07:00:00Z
China,304,2020-02-02T07:00:00Z
Philippines,1,2020-02-02T07:00:00Z
World except China,1,2020-02-03T07:00:00Z
China,361,2020-02-03T07:00:00Z
Philippines,1,2020-02-03T07:00:00Z
World except China,1,2020-02-04T07:00:00Z
China,425,2020-02-04T07:00:00Z
Philippines,1,2020-02-04T07:00:00Z
World except China,1,2020-02-05T07:00:00Z
China,491,2020-02-05T07:00:00Z
Philippines,1,2020-02-05T07:00:00Z
World except China,1,2020-02-06T07:00:00Z
China,564,2020-02-06T07:00:00Z
Philippines,1,2020-02-06T07:00:00Z
World except China,1,2020-02-07T07:00:00Z
China,637,2020-02-07T07:00:00Z
Philippines,1,2020-02-07T07:00:00Z
World except China,1,2020-02-08T07:00:00Z
China,723,2020-02-08T07:00:00Z
Philippines,1,2020-02-08T07:00:00Z
World except China,1,2020-02-09T07:00:00Z
China,812,2020-02-09T07:00:00Z
Philippines,1,2020-02-09T07:00:00Z
World except China,1,2020-02-10T07:00:00Z
China,909,2020-02-10T07:00:00Z
Philippines,1,2020-02-10T07:00:00Z
World except China,1,2020-02-11T07:00:00Z
China,1017,2020-02-11T07:00:00Z
Philippines,1,2020-02-11T07:00:00Z
World except China,1,2020-02-12T07:00:00Z
China,1114,2020-02-12T07:00:00Z
Philippines,1,2020-02-12T07:00:00Z
World except China,1,2020-02-13T07:00:00Z
China,1368,2020-02-13T07:00:00Z
Philippines,1,2020-02-13T07:00:00Z
World except China,2,2020-02-14T07:00:00Z
China,1381,2020-02-14T07:00:00Z
Philippines,1,2020-02-14T07:00:00Z
Japan,1,2020-02-14T07:00:00Z
World except China,3,2020-02-16T07:00:00Z
China,1666,2020-02-16T07:00:00Z
Japan,1,2020-02-16T07:00:00Z
France,1,2020-02-16T07:00:00Z
Philippines,1,2020-02-16T07:00:00Z
World except China,3,2020-02-17T07:00:00Z
China,1772,2020-02-17T07:00:00Z
Japan,1,2020-02-17T07:00:00Z
France,1,2020-02-17T07:00:00Z
Philippines,1,2020-02-17T07:00:00Z
World except China,3,2020-02-18T07:00:00Z
China,1870,2020-02-18T07:00:00Z
Japan,1,2020-02-18T07:00:00Z
France,1,2020-02-18T07:00:00Z
Philippines,1,2020-02-18T07:00:00Z
World except China,3,2020-02-19T07:00:00Z
China,2006,2020-02-19T07:00:00Z
Japan,1,2020-02-19T07:00:00Z
France,1,2020-02-19T07:00:00Z
Philippines,1,2020-02-19T07:00:00Z
World except China,8,2020-02-20T07:00:00Z
China,2121,2020-02-20T07:00:00Z
Iran,2,2020-02-20T07:00:00Z
South Korea,1,2020-02-20T07:00:00Z
International conveyance,2,2020-02-20T07:00:00Z
Japan,1,2020-02-20T07:00:00Z
France,1,2020-02-20T07:00:00Z
Philippines,1,2020-02-20T07:00:00Z
World except China,8,2020-02-21T07:00:00Z
China,2239,2020-02-21T07:00:00Z
Iran,2,2020-02-21T07:00:00Z
South Korea,1,2020-02-21T07:00:00Z
International conveyance,2,2020-02-21T07:00:00Z
Japan,1,2020-02-21T07:00:00Z
France,1,2020-02-21T07:00:00Z
Philippines,1,2020-02-21T07:00:00Z
World except China,11,2020-02-22T07:00:00Z
China,2348,2020-02-22T07:00:00Z
Iran,4,2020-02-22T07:00:00Z
South Korea,2,2020-02-22T07:00:00Z
International conveyance,2,2020-02-22T07:00:00Z
Japan,1,2020-02-22T07:00:00Z
France,1,2020-02-22T07:00:00Z
Philippines,1,2020-02-22T07:00:00Z
World except China,17,2020-02-23T07:00:00Z
China,2445,2020-02-23T07:00:00Z
Iran,5,2020-02-23T07:00:00Z
Italy,2,2020-02-23T07:00:00Z
South Korea,5,2020-02-23T07:00:00Z
International conveyance,2,2020-02-23T07:00:00Z
Japan,1,2020-02-23T07:00:00Z
France,1,2020-02-23T07:00:00Z
Philippines,1,2020-02-23T07:00:00Z
World except China,23,2020-02-24T07:00:00Z
China,2595,2020-02-24T07:00:00Z
Iran,8,2020-02-24T07:00:00Z
Italy,2,2020-02-24T07:00:00Z
South Korea,7,2020-02-24T07:00:00Z
International conveyance,3,2020-02-24T07:00:00Z
Japan,1,2020-02-24T07:00:00Z
France,1,2020-02-24T07:00:00Z
Philippines,1,2020-02-24T07:00:00Z
World except China,34,2020-02-25T07:00:00Z
China,2666,2020-02-25T07:00:00Z
Iran,12,2020-02-25T07:00:00Z
Italy,6,2020-02-25T07:00:00Z
South Korea,10,2020-02-25T07:00:00Z
International conveyance,3,2020-02-25T07:00:00Z
Japan,1,2020-02-25T07:00:00Z
France,1,2020-02-25T07:00:00Z
Philippines,1,2020-02-25T07:00:00Z
World except China,44,2020-02-26T07:00:00Z
China,2718,2020-02-26T07:00:00Z
Iran,15,2020-02-26T07:00:00Z
Italy,11,2020-02-26T07:00:00Z
South Korea,12,2020-02-26T07:00:00Z
International conveyance,3,2020-02-26T07:00:00Z
Japan,1,2020-02-26T07:00:00Z
France,1,2020-02-26T07:00:00Z
Philippines,1,2020-02-26T07:00:00Z
World except China,57,2020-02-27T07:00:00Z
China,2747,2020-02-27T07:00:00Z
Iran,22,2020-02-27T07:00:00Z
Italy,12,2020-02-27T07:00:00Z
South Korea,13,2020-02-27T07:00:00Z
